genre,week,ExponentialSmoothing_Count,ARIMA_Count,Prophet_Count,LSTM_Count,ExponentialSmoothing_Rank,ARIMA_Rank,Prophet_Rank,LSTM_Rank
Alternative,2021-11-08,5.730292210457811,5.806473958458993,7.975051832325912,6.4795256,43.895187415192645,45.07602160789768,39.93728795411906,41.76859
Alternative,2021-11-15,5.601045111143966,5.738799589298443,8.024431646027903,6.5511065,44.22660819274287,44.77687663159795,39.56217504231846,46.556
Alternative,2021-11-22,5.665349712274356,5.7291240092257105,8.00876324820232,6.4163604,45.75068158558605,44.73878138966329,39.36863205053271,47.04427
Alternative,2021-11-29,5.649095029375378,5.737855255133054,7.959189486954079,6.586718,45.65509772489081,44.379050469649634,39.34502228607725,45.337387
Alternative,2021-12-06,5.761845456296871,5.751856648097305,7.935792431213617,6.7773185,46.33613247830644,44.35375644118486,39.4901139725916,45.120262
Alternative,2021-12-13,5.761696750555967,5.76698882917931,7.950043911602583,6.4385543,46.01830755132338,44.04439805797976,39.650069592949464,47.11391
Alternative,2021-12-20,5.664804843358867,5.7819714563172955,7.956146403661764,6.655819,46.464323451501286,44.0385043154219,39.57406461966345,48.948452
Alternative,2021-12-27,5.616292568878382,5.79642489980233,7.920337440412052,6.5125923,47.20713133205335,43.77265029062338,39.214551644217266,50.887882
Alternative,2022-01-03,5.696758227383447,5.810252277439499,7.87584390997141,6.3013883,45.90988299251236,43.78132256740254,38.89942449732483,49.90016
Alternative,2022-01-10,5.8417444440829405,5.823444736064491,7.889004267760642,6.175355,45.966337721466545,43.55215619913311,39.084198354233074,47.82444
Alternative,2022-01-17,5.890055248688984,5.83602013984483,7.976057878210902,6.1441164,45.92860179863243,43.57146455315177,39.89562525991419,46.80958
Alternative,2022-01-24,5.8900976992820056,5.8480037975323365,8.07472070426862,6.328101,45.80940358118785,43.3733113652168,40.96936048932017,47.310375
Alternative,2022-01-31,5.809163537581956,5.859422435099622,8.107948748287233,6.023432,45.39164120018095,43.40016677292461,41.77173113530324,47.358665
Alternative,2022-02-07,5.729938703861443,5.870302340187605,8.064092049411258,5.9365625,45.06338490016225,43.22830448316108,42.048265925807925,48.32698
Alternative,2022-02-14,5.7829693321204525,5.880668819135396,8.000018775969398,6.1891994,45.40816829427965,43.26029353274728,41.92750009839582,49.324913
Alternative,2022-02-21,5.851842883426695,5.890546065669435,7.970768193229212,6.430266,46.6689833811555,43.11078426423373,41.648882773192454,49.805965
Alternative,2022-02-28,5.873197549951449,5.8999571574395855,7.976035176583199,6.101911,45.27251690870692,43.14603424533258,41.31105270681623,49.605843
Alternative,2022-03-07,5.984418577383471,5.908924091053812,7.983357678095219,6.210232,45.49354072645163,43.01558700414397,40.93081451018267,49.232544
Alternative,2022-03-14,5.809914000722206,5.917467827539841,7.985725537828413,6.146914,43.3952696353052,43.05265693676503,40.645425257163225,50.248516
Alternative,2022-03-21,5.778262423812434,5.925608339468095,8.011702481494396,6.0559416,43.85388971143226,42.93851493164709,40.70153908937969,50.644814
Country,2021-11-08,22.16856523695837,21.759121723227324,19.24732948529375,22.23193,57.48405985728289,58.415493553884914,64.78766055939337,59.043957
Country,2021-11-15,22.152813406197158,21.515456087932755,19.206278410056502,19.404064,57.5962520770732,58.79015770824417,64.76214018308198,58.95
Country,2021-11-22,21.977988523526196,21.353414495486106,19.256267915846674,19.624338,56.862801099514826,59.047259317959345,64.65381315930621,57.145004
Country,2021-11-29,22.025614206877542,21.211632176382114,19.318848567041442,19.227285,57.39024404851701,59.311989266906295,64.72406361997287,55.69861
Country,2021-12-06,21.200175442424673,21.10721484760208,19.255611188800216,19.164505,56.63477757834275,59.491954137276835,64.98221057885611,56.881813
Country,2021-12-13,21.041660670455084,21.02170568620707,19.019290526745657,17.325104,56.57037130691738,59.67832041975206,65.19758349860211,58.352154
Country,2021-12-20,20.85134687528668,20.956165214272346,18.730176148111568,17.65387,57.178997754737594,59.8042558615304,65.14315708184866,59.937035
Country,2021-12-27,20.899236202014542,20.903829615155217,18.587922679008578,17.534536,56.75516179787903,59.93546337713366,64.79486734848788,60.98561
Country,2022-01-03,21.72474641245981,20.863089688588936,18.70286269525908,17.789474,55.326886924050825,60.0235808268745,64.31069795480053,63.9407
Country,2022-01-10,22.018607312211863,20.830871245018255,19.009723591559364,18.221695,57.56110997702265,60.11596133684048,63.87097534684213,63.61036
