song,artist,song_clean,artist_clean
Who Dat Girl,Flo Rida Featuring Akon,Who Dat Girl,Flo Rida
Rolling In The Deep,Adele,Rolling In The Deep,Adele
Voices,Chris Young,Voices,Chris Young
Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,Don't You Wanna Stay,Jason Aldean
Let Me Down Easy,Billy Currington,Let Me Down Easy,Billy Currington
Anything Like Me,Brad Paisley,Anything Like Me,Brad Paisley
Runaway,Kanye West Featuring Pusha T,Runaway,Kanye West
Waiting For The End,Linkin Park,Waiting For The End,Linkin Park
Fancy,Drake Featuring T.I. & Swizz Beatz,Fancy,Drake
Maybe,Sick Puppies,Maybe,Sick Puppies
Hello World,Lady Antebellum,Hello World,Lady Antebellum
Someone Else Calling You Baby,Luke Bryan,Someone Else Calling You Baby,Luke Bryan
All I Want Is You,Miguel Featuring J. Cole,All I Want Is You,Miguel
Make A Movie,Twista Featuring Chris Brown,Make A Movie,Twista
Little Lion Man,Mumford & Sons,Little Lion Man,Mumford
Fire Flame,Birdman Featuring Lil Wayne,Fire Flame,Birdman
Angel,Akon,Angel,Akon
Bullets In The Gun,Toby Keith,Bullets In The Gun,Toby Keith
Marry Me,Train,Marry Me,Train
Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj,Letting Go,Sean Kingston
Smoke A Little Smoke,Eric Church,Smoke A Little Smoke,Eric Church
Shake,Jesse McCartney,Shake,Jesse McCartney
No BS,Chris Brown,No BS,Chris Brown
Loca,Shakira Featuring El Cata or Dizzee Rascal,Loca,Shakira
Strip Me,Natasha Bedingfield,Strip Me,Natasha Bedingfield
Forget You,Glee Cast Featuring Gwyneth Paltrow,Forget You,Glee Cast
Monster,"Kanye West Featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj",Monster,Kanye West
Bass Down Low,Dev Featuring The Cataracs,Bass Down Low,Dev
Fall For Your Type,Jamie Foxx Featuring Drake,Fall For Your Type,Jamie Foxx
September,Daughtry,September,Daughtry
One In A Million,Ne-Yo,One In A Million,Ne-Yo
Marry You,Bruno Mars,Marry You,Bruno Mars
Porn Star Dancing,My Darkest Days Featuring Zakk Wylde,Porn Star Dancing,My Darkest Days
"Bon, Bon",Pitbull,"Bon, Bon",Pitbull
Dog Days Are Over,Glee Cast,Dog Days Are Over,Glee Cast
"Hey, Soul Sister",Glee Cast,"Hey, Soul Sister",Glee Cast
(I've Had) The Time Of My Life,Glee Cast, The Time Of My Life,Glee Cast
Valerie,Glee Cast,Valerie,Glee Cast
Marry You,Glee Cast,Marry You,Glee Cast
Freak The Freak Out,Victorious Cast Featuring Victoria Justice,Freak The Freak Out,Victorious Cast
Boots,The Killers,Boots,The Killers
Check It Out,will.i.am & Nicki Minaj,Check It Out,will.i.am
Don't Cry For Me Argentina (Lea Michele Version),Glee Cast,Don't Cry For Me Argentina,Glee Cast
Singing In The Rain / Umbrella,Glee Cast Featuring Gwyneth Paltrow,Singing In The Rain / Umbrella,Glee Cast
Just The Way You Are,Glee Cast,Just The Way You Are,Glee Cast
Take It Off,Ke$ha,Take It Off,Ke$ha
Dark Fantasy,"Kanye West Featuring Teyana Taylor, Nicki Minaj & Bon Iver",Dark Fantasy,Kanye West
Show Me How You Burlesque,Christina Aguilera,Show Me How You Burlesque,Christina Aguilera
Who's That Chick?,David Guetta Featuring Rihanna,Who's That Chick?,David Guetta
Fly,Nicki Minaj Featuring Rihanna,Fly,Nicki Minaj
Hot Tottie,Usher Featuring Jay-Z,Hot Tottie,Usher
Teenage Dream,Glee Cast,Teenage Dream,Glee Cast
Come Back Song,Darius Rucker,Come Back Song,Darius Rucker
All Of The Lights,Kanye West,All Of The Lights,Kanye West
Crazy Beautiful Life,Ke$ha,Crazy Beautiful Life,Ke$ha
The Boys of Fall,Kenny Chesney,The Boys of Fall,Kenny Chesney
King Of Anything,Sara Bareilles,King Of Anything,Sara Bareilles
