genre,Exp_RMSE_Count,ARIMA_RMSE_Count,Prophet_RMSE_Count,LSTM_RMSE_Count,Exp_RMSE_Rank,ARIMA_RMSE_Rank,Prophet_RMSE_Rank,LSTM_RMSE_Rank
Alternative,2.157802885792569,2.21834897216425,5.0677916750295475,2.94161690244171,31.751959079165903,18.501231258672682,20.576615092853892,22.317866815654845
Country,6.930758736209514,6.265712897388944,4.901076281705107,4.666078619032052,10.10669516451266,5.204473415822548,7.495015776782108,7.97600374010864
Pop,7.523180939089032,6.903706500311413,5.211170541827988,4.424039009720397,6.413410984625558,6.324883861343211,6.229263252168489,6.476580847258059
R&B,2.3760974685161544,2.0432200036900054,3.563641520515354,3.291518112089441,19.72793061686311,10.871508638185166,11.728749491117759,12.377374693738185
Rap/Hip Hop,7.888630526532772,9.049686888700972,9.646000763114891,7.303335120747141,5.988835976377906,6.1147323013345565,8.364659915271252,6.958823825641865
