song,artist,song_clean,artist_clean
"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,Ya Superame,Grupo Firme
Who's In Your Head,Jonas Brothers,Who's In Your Head,Jonas Brothers
In The Bible,Drake Featuring Lil Durk & Giveon,In The Bible,Drake
Just About Over You,Priscilla Block,Just About Over You,Priscilla Block
To Be Loved By You,Parker McCollum,To Be Loved By You,Parker McCollum
Ain't Shit,Doja Cat,Ain't Shit,Doja Cat
Life Goes On,Oliver Tree,Life Goes On,Oliver Tree
Come Through,H.E.R. Featuring Chris Brown,Come Through,H.E.R.
Nevada,YoungBoy Never Broke Again,Nevada,YoungBoy Never Broke Again
Leave Before You Love Me,Marshmello X Jonas Brothers,Leave Before You Love Me,Marshmello
Deja Vu,Olivia Rodrigo,Deja Vu,Olivia Rodrigo
Ex For A Reason,Summer Walker & JT,Ex For A Reason,Summer Walker
Late At Night,Roddy Ricch,Late At Night,Roddy Ricch
Livin It Up,Young Thug With Post Malone & A$AP Rocky,Livin It Up,Young Thug
Stressed,Young Thug With J. Cole & T-Shyne,Stressed,Young Thug
Rich N***a Shit,Young Thug With Juice WRLD,Rich N***a Shit,Young Thug
Yonaguni,Bad Bunny,Yonaguni,Bad Bunny
Champagne Poetry,Drake,Champagne Poetry,Drake
Let Somebody Go,Coldplay X Selena Gomez,Let Somebody Go,Coldplay
You Time,Scotty McCreery,You Time,Scotty McCreery
Peepin Out The Window,Young Thug With Future & BSlime,Peepin Out The Window,Young Thug
Woo Baby,Pop Smoke Featuring Chris Brown,Woo Baby,Pop Smoke
Flocky Flocky,Don Toliver Featuring Travis Scott,Flocky Flocky,Don Toliver
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,Peaches,Justin Bieber
Todo de Ti,Rauw Alejandro,Todo de Ti,Rauw Alejandro
Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,Drinkin' Beer. Talkin' God. Amen.,Chase Rice
Your Heart,Joyner Lucas & J. Cole,Your Heart,Joyner Lucas
Summer Of Love,Shawn Mendes & Tainy,Summer Of Love,Shawn Mendes
Waves,Luke Bryan,Waves,Luke Bryan
Life Support,YoungBoy Never Broke Again,Life Support,YoungBoy Never Broke Again
Bad Morning,YoungBoy Never Broke Again,Bad Morning,YoungBoy Never Broke Again
Intro (Hate On Me),Meek Mill,Intro,Meek Mill
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,Drunk,Elle King
Butter,BTS,Butter,BTS
Hot,Meek Mill Featuring Moneybagg Yo,Hot,Meek Mill
Expensive Pain,Meek Mill,Expensive Pain,Meek Mill
On My Soul,Meek Mill,On My Soul,Meek Mill
Blue Note$ II,Meek Mill Featuring Lil Uzi Vert,Blue Note$ II,Meek Mill
Outside (100 MPH),Meek Mill,Outside,Meek Mill
Last One Standing,"Skylar Grey, Polo G, Mozzy & Eminem",Last One Standing,Skylar Grey
The Feels,TWICE,The Feels,TWICE
Me (FWM),Meek Mill Featuring A$AP Ferg,Me,Meek Mill
Love Train,Meek Mill,Love Train,Meek Mill
Feelin Like Tunechi,Lil Wayne Featuring Rich The Kid,Feelin Like Tunechi,Lil Wayne
Ride For You,Meek Mill Featuring Kehlani,Ride For You,Meek Mill
TSU,Drake,TSU,Drake
Love All,Drake Featuring JAY-Z,Love All,Drake
No Where,YoungBoy Never Broke Again,No Where,YoungBoy Never Broke Again
On My Side,YoungBoy Never Broke Again,On My Side,YoungBoy Never Broke Again
Things A Man Oughta Know,Lainey Wilson,Things A Man Oughta Know,Lainey Wilson
Hold Me Down,YoungBoy Never Broke Again,Hold Me Down,YoungBoy Never Broke Again
50 Shots,YoungBoy Never Broke Again,50 Shots,YoungBoy Never Broke Again
Smoke Strong,YoungBoy Never Broke Again,Smoke Strong,YoungBoy Never Broke Again
Break Or Make Me,YoungBoy Never Broke Again,Break Or Make Me,YoungBoy Never Broke Again
Sincerely,YoungBoy Never Broke Again,Sincerely,YoungBoy Never Broke Again
I Can't Take It Back,YoungBoy Never Broke Again,I Can't Take It Back,YoungBoy Never Broke Again
Rumors,Lizzo Featuring Cardi B,Rumors,Lizzo
Forgiato,YoungBoy Never Broke Again,Forgiato,YoungBoy Never Broke Again
Rich Shit,YoungBoy Never Broke Again,Rich Shit,YoungBoy Never Broke Again
N 2 Deep,Drake Featuring Future,N 2 Deep,Drake
Baddest Thing,YoungBoy Never Broke Again,Baddest Thing,YoungBoy Never Broke Again
Pipe Down,Drake,Pipe Down,Drake
Papi's Home,Drake,Papi's Home,Drake
Toxic Punk,YoungBoy Never Broke Again,Toxic Punk,YoungBoy Never Broke Again
Moon,Kanye West,Moon,Kanye West
Wildest Dreams (Taylor's Version),Taylor Swift,Wildest Dreams,Taylor Swift
Arcade,Duncan Laurence,Arcade,Duncan Laurence
Scoop,Lil Nas X Featuring Doja Cat,Scoop,Lil Nas
Dolla Sign Slime,Lil Nas X Featuring Megan Thee Stallion,Dolla Sign Slime,Lil Nas
Lonely,DaBaby X Lil Wayne,Lonely,DaBaby
Dead Right Now,Lil Nas X,Dead Right Now,Lil Nas X
Tales Of Dominica,Lil Nas X,Tales Of Dominica,Lil Nas X
One Of Me,Lil Nas X Featuring Elton John,One Of Me,Lil Nas
Race My Mind,Drake,Race My Mind,Drake
Lost In The Citadel,Lil Nas X,Lost In The Citadel,Lil Nas X
Sun Goes Down,Lil Nas X,Sun Goes Down,Lil Nas X
7am On Bridle Path,Drake,7am On Bridle Path,Drake
Off The Grid,Kanye West,Off The Grid,Kanye West
In Da Getto,J Balvin & Skrillex,In Da Getto,J Balvin
Skate,Silk Sonic (Bruno Mars & Anderson .Paak),Skate,Silk Sonic (Bruno Mars
Am I Dreaming,Lil Nas X Featuring Miley Cyrus,Am I Dreaming,Lil Nas
Don't Go Yet,Camila Cabello,Don't Go Yet,Camila Cabello
Country Again,Thomas Rhett,Country Again,Thomas Rhett
Range Brothers,Baby Keem & Kendrick Lamar,Range Brothers,Baby Keem
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,Every Chance I Get,DJ Khaled
IMY2,Drake Featuring Kid Cudi,IMY2,Drake
Yebba's Heartbreak,Drake & Yebba,Yebba's Heartbreak,Drake
Get Along Better,Drake Featuring Ty Dolla $ign,Get Along Better,Drake
You Only Live Twice,Drake Featuring Lil Wayne & Rick Ross,You Only Live Twice,Drake
Lalisa,Lisa,Lalisa,Lisa
Fountains,Drake Featuring Tems,Fountains,Drake
Single Saturday Night,Cole Swindell,Single Saturday Night,Cole Swindell
We Didn't Have Much,Justin Moore,We Didn't Have Much,Justin Moore
Jail,Kanye West,Jail,Kanye West
Fucking Fans,Drake,Fucking Fans,Drake
The Remorse,Drake,The Remorse,Drake
Ok Ok,Kanye West,Ok Ok,Kanye West
Junya,Kanye West,Junya,Kanye West
Believe What I Say,Kanye West,Believe What I Say,Kanye West
Jonah,Kanye West,Jonah,Kanye West
Jesus Lord,Kanye West,Jesus Lord,Kanye West
Motley Crew,Post Malone,Motley Crew,Post Malone
Remote Control,Kanye West,Remote Control,Kanye West
God Breathed,Kanye West,God Breathed,Kanye West
Heartbreak Anniversary,Giveon,Heartbreak Anniversary,Giveon
Forever After All,Luke Combs,Forever After All,Luke Combs
Heaven And Hell,Kanye West,Heaven And Hell,Kanye West
24,Kanye West,24,Kanye West
Pure Souls,Kanye West,Pure Souls,Kanye West
