Genre,ExponentialSmoothing_Count,ARIMA_Count,Prophet_Count,LSTM_Count,Average_Count,ExponentialSmoothing_Rank,ARIMA_Rank,Prophet_Rank,LSTM_Rank,Average_Rank
Rap/Hip Hop,28.925998117788943,30.701323259440585,40.17752242682832,14.606908798217773,29.980220701311886,56.79168862037,56.57142870168771,52.928366953280616,44.48247528076172,53.26736374558684
Pop,22.68215614329868,21.024294288199027,18.277683742513283,28.65790557861328,22.28379321777812,33.01965066259869,39.02269586642689,38.1317292562044,37.18384552001953,37.69329219548111
Country,22.07408502822583,20.72343149587947,19.210734224113587,16.89324378967285,19.916696715165944,58.47546867774301,60.468584172657515,66.42122766323973,59.82168197631836,60.64969867067593
R&B,9.653149032933872,7.307323334594476,4.428202012159908,5.4408159255981445,7.1618765240394,53.07089912811648,51.92822458112457,53.399287230293154,48.786041259765625,53.00688967406006
Alternative,5.778262423812434,5.925608339468095,8.011702481494396,6.055941581726074,6.475941777095251,43.85388971143226,42.93851493164709,40.70153908937969,50.644813537597656,44.368387696897706
