song,artist,genre
Haunted,Taylor Swift,
Last Kiss,Taylor Swift,
I Won't Let Go,Rascal Flatts,Country
Enchanted,Taylor Swift,
Mr. Rager,Kid Cudi,Rap/Hip Hop
Never Grow Up,Taylor Swift,
Long Live,Taylor Swift,
Time Warp,Glee Cast,Pop
Hollywood,Michael Buble,Pop
All Over Me,Josh Turner,Country
Mean,Taylor Swift,
Not Afraid,Eminem,Rap/Hip Hop
OMG,Usher,R&B
Magic,B.o.B,Rap/Hip Hop
If It's Love,Train,Pop
Gonna Get This,Hannah Montana,Films/Games
Waka Waka,Shakira,Pop
The End,Kings Of Leon,Alternative
Way Out Here,Josh Thompson,Country
Speak Now,Taylor Swift,
Rap Song,T-Pain,Rap/Hip Hop
B.M.F.,Rick Ross,Rap/Hip Hop
Tighten Up,The Black Keys,Alternative
Our Kind Of Love,Lady Antebellum,
All About Tonight,Blake Shelton,Country
Got Your Back,T.I.,Rap/Hip Hop
Lucky,Glee Cast,Pop
"River Deep, Mountain High",Glee Cast,Pop
Happy Days Are Here Again / Get Happy,Glee Cast,Pop
Don't Go Breaking My Heart,Glee Cast,Pop
Move That Body,Nelly,Rap/Hip Hop
Miss Me,Drake,Rap/Hip Hop
Little Miss,Sugarland,Country
Your Love,Nicki Minaj,Rap/Hip Hop
This,Darius Rucker,Country
Sing!,Glee Cast,Pop
Pretty Good At Drinkin' Beer,Billy Currington,Country
A Year Without Rain,Selena Gomez,Pop
Little White Church,Little Big Town,Country
Le Jazz Hot,Glee Cast,Pop
Gonorrhea,Lil Wayne,Rap/Hip Hop
POWER,Kanye West,Rap/Hip Hop
The Catalyst,Linkin Park,Alternative
I Want To Hold Your Hand,Glee Cast,Pop
One Of Us,Glee Cast,Pop
"Hey, Soul Sister",Train,Pop
Ridin' Solo,Jason Derulo,Pop
Only The Good Die Young,Glee Cast,Pop
The Only Exception,Paramore,Alternative
Teach Me How To Dougie,Cali Swag District,Rap/Hip Hop
Losing My Religion,Glee Cast,Pop
Papa Can You Hear Me?,Glee Cast,Pop
Bridge Over Troubled Water,Glee Cast,Pop
I Look To You,Glee Cast,Pop
Half Of My Heart,John Mayer,Rock
La La La,Auburn,Pop
The Lazy Song,Bruno Mars,Pop
Like We Used To,A Rocket To The Moon,Alternative
Toxic,Glee Cast,Pop
The Only Exception,Glee Cast,Pop
Billionaire,Travie McCoy,Pop
What's Wrong With Them,Lil Wayne,Rap/Hip Hop
Need You Now,Lady Antebellum,
I'm A Slave 4 U,Glee Cast,Pop
Stronger,Glee Cast,Pop
Baby One More Time,Glee Cast,Pop
Me Against The Music,Glee Cast,Pop
I Am Not A Human Being,Lil Wayne,Rap/Hip Hop
Bill Gates,Lil Wayne,Rap/Hip Hop
Na Na Na,My Chemical Romance,Alternative
Hope She Cheats On You,Marsha Ambrosius,R&B
Empire State Of Mind,Glee Cast,Pop
Pretty Boy Swag,Soulja Boy Tell'em,
Telephone,Glee Cast,Pop
Billionaire,Glee Cast,Pop
Listen,Glee Cast,Pop
Find Your Love,Drake,Rap/Hip Hop
Breakeven,The Script,Pop
What I Did For Love,Glee Cast,Pop
Free,Zac Brown Band,Country
Stutter,Maroon 5,Pop
Round & Round,Selena Gomez,
Break My Bank,New Boyz,Rap/Hip Hop
Loving You No More,Diddy - Dirty Money,Rap/Hip Hop
Bittersweet,Fantasia,Pop
Erase Me,Kid Cudi,Rap/Hip Hop
Smile,Uncle Kracker,Pop
Love Like Crazy,Lee Brice,Country
Somebody To Love,Justin Bieber,Pop
Hold You,Gyptian,Reggae
Glitter In The Air,P!nk,Pop
U Smile,Justin Bieber,Pop
Trailerhood,Toby Keith,Country
Break Your Heart,Taio Cruz,Pop
Undo It,Carrie Underwood,Country
"Lover, Lover",Jerrod Niemann,Country
Dumb Love,Sean Kingston,Rap/Hip Hop
I'm In,Keith Urban,Country
Gettin' Over You,David Guetta,Dance
Rockstar 101,Rihanna,Pop
This Ain't Nothin',Craig Morgan,Country
Introducing Me,Nick Jonas,Films/Games
The Man Who Can't Be Moved,The Script,Pop
Champagne Life,Ne-Yo,R&B
Bulletproof,La Roux,Dance
Alejandro,Lady Gaga,Pop
There Goes My Baby,Usher,R&B
Impossible,Shontelle,Pop
Ride,Ciara,R&B
Kissin U,Miranda Cosgrove,Pop
My First Kiss,3OH!3,Alternative
Bed Intruder Song,Antoine Dodson,Pop
Last Friday Night,Katy Perry,Pop
143,Bobby Brackins,Rap/Hip Hop
Rock That Body,The Black Eyed Peas,
Mockingbird,Rob Thomas,Pop
E.T.,Katy Perry,Pop
Your Love Is My Drug,Ke$ha,Pop
Un-Thinkable,Alicia Keys,Rap/Hip Hop
Give A Little More,Maroon 5,
Water,Brad Paisley,Country
Black Rain,Soundgarden,Rock
This Afternoon,Nickelback,
Circle The Drain,Katy Perry,Pop
Hello Good Morning,Diddy - Dirty Money,Rap/Hip Hop
Lose My Mind,Young Jeezy,Rap/Hip Hop
Lay Me Down,The Dirty Heads,Rock
Nothin' On You,B.o.B,Rap/Hip Hop
Not Like The Movies,Katy Perry,Pop
Rain Is A Good Thing,Luke Bryan,Country
I Never Told You,Colbie Caillat,Pop
The House That Built Me,Miranda Lambert,Country
Beautiful Monster,Ne-Yo,R&B
Pray For You,Jaron,Country
We'll Be A Dream,WE the Kings,Alternative
Crazy Town,Jason Aldean,Country
Sex Room,Ludacris,Rap/Hip Hop
All I Do Is Win,DJ Khaled,Rap/Hip Hop
In My Head,Jason Derulo,Pop
Haven't Met You Yet,Michael Buble,Pop
G.R.I.N.D.,Asher Roth,Rap/Hip Hop
Nightmare,Avenged Sevenfold,Rock
She Won't Be Lonely Long,Clay Walker,Country
