genre,Pop,Rock,Country,R&B,Rap/Hip Hop
Pop,1.0,-0.5228086747461282,-0.2919268704292873,-0.3472416489531072,-0.3292680679066356
Rock,-0.5228086747461282,1.0,-0.2744206099745237,-0.2654873084423443,-0.30142050086416045
Country,-0.2919268704292873,-0.2744206099745237,1.0,0.14332171993838944,0.23998340384615163
R&B,-0.3472416489531072,-0.2654873084423443,0.14332171993838944,1.0,0.5404547859998051
Rap/Hip Hop,-0.3292680679066356,-0.30142050086416045,0.23998340384615163,0.5404547859998051,1.0
