genre,Pop,Rock,R&B,Rap/Hip Hop,Country
Pop,1.0,0.8160632592157175,0.2641017860389375,-0.8909357532255751,-0.7409712552980057
Rock,0.8160632592157175,1.0,0.358506557902197,-0.8907151441458517,-0.7754912194878292
R&B,0.2641017860389375,0.358506557902197,1.0,-0.508859280396591,-0.46764320780901686
Rap/Hip Hop,-0.8909357532255751,-0.8907151441458517,-0.508859280396591,1.0,0.6791737051886736
Country,-0.7409712552980057,-0.7754912194878292,-0.46764320780901686,0.6791737051886736,1.0
