period,Pop,Rock,R&B,Rap/Hip Hop,Country
1958-W32,0.5,0.3275862068965517,0.05172413793103448,0.0,0.05172413793103448
1958-W33,0.4393939393939394,0.3484848484848485,0.045454545454545456,0.0,0.09090909090909091
1958-W34,0.484375,0.28125,0.046875,0.0,0.078125
1958-W35,0.4393939393939394,0.2878787878787879,0.06060606060606061,0.0,0.12121212121212122
1958-W36,0.46875,0.28125,0.0625,0.0,0.09375
1958-W37,0.4461538461538462,0.27692307692307694,0.046153846153846156,0.0,0.13846153846153847
1958-W38,0.4461538461538462,0.27692307692307694,0.07692307692307693,0.0,0.1076923076923077
1958-W39,0.5079365079365079,0.25396825396825395,0.07936507936507936,0.0,0.07936507936507936
1958-W40,0.5245901639344263,0.21311475409836064,0.08196721311475409,0.0,0.08196721311475409
1958-W41,0.5,0.20967741935483872,0.08064516129032258,0.0,0.11290322580645161
1958-W42,0.5081967213114754,0.22950819672131148,0.06557377049180328,0.0,0.11475409836065574
1958-W43,0.4603174603174603,0.23809523809523808,0.07936507936507936,0.0,0.1111111111111111
1958-W44,0.45901639344262296,0.22950819672131148,0.09836065573770492,0.0,0.09836065573770492
1958-W45,0.4426229508196721,0.22950819672131148,0.09836065573770492,0.0,0.09836065573770492
1958-W46,0.4426229508196721,0.26229508196721313,0.08196721311475409,0.0,0.08196721311475409
1958-W47,0.4166666666666667,0.25,0.1,0.0,0.08333333333333333
1958-W48,0.43333333333333335,0.21666666666666667,0.1,0.0,0.1
1958-W49,0.48333333333333334,0.18333333333333332,0.08333333333333333,0.0,0.1
1958-W50,0.5172413793103449,0.1724137931034483,0.10344827586206896,0.0,0.06896551724137931
1958-W51,0.5254237288135594,0.15254237288135594,0.11864406779661017,0.0,0.06779661016949153
1958-W52,0.5333333333333333,0.15,0.13333333333333333,0.0,0.03333333333333333
1959-W01,0.5172413793103449,0.1896551724137931,0.13793103448275862,0.0,0.034482758620689655
1959-W02,0.578125,0.15625,0.109375,0.0,0.03125
1959-W03,0.5806451612903226,0.12903225806451613,0.11290322580645161,0.0,0.03225806451612903
1959-W04,0.5714285714285714,0.15873015873015872,0.09523809523809523,0.0,0.06349206349206349
1959-W05,0.5555555555555556,0.1746031746031746,0.09523809523809523,0.0,0.06349206349206349
1959-W06,0.546875,0.15625,0.09375,0.0,0.078125
1959-W07,0.5245901639344263,0.16393442622950818,0.11475409836065574,0.0,0.06557377049180328
1959-W08,0.5081967213114754,0.16393442622950818,0.11475409836065574,0.0,0.06557377049180328
1959-W09,0.5,0.1875,0.109375,0.0,0.0625
1959-W10,0.5,0.171875,0.140625,0.0,0.0625
1959-W11,0.45901639344262296,0.19672131147540983,0.14754098360655737,0.0,0.08196721311475409
1959-W12,0.45901639344262296,0.19672131147540983,0.14754098360655737,0.0,0.08196721311475409
1959-W13,0.5,0.1875,0.125,0.0,0.046875
1959-W14,0.48333333333333334,0.18333333333333332,0.11666666666666667,0.0,0.05
1959-W15,0.5,0.18333333333333332,0.11666666666666667,0.0,0.05
1959-W16,0.5263157894736842,0.19298245614035087,0.14035087719298245,0.0,0.03508771929824561
1959-W17,0.5254237288135594,0.1864406779661017,0.13559322033898305,0.0,0.03389830508474576
1959-W18,0.47540983606557374,0.22950819672131148,0.13114754098360656,0.0,0.04918032786885246
1959-W19,0.46774193548387094,0.27419354838709675,0.0967741935483871,0.0,0.06451612903225806
1959-W20,0.4426229508196721,0.3114754098360656,0.11475409836065574,0.0,0.04918032786885246
1959-W21,0.45,0.31666666666666665,0.11666666666666667,0.0,0.03333333333333333
1959-W22,0.4067796610169492,0.3389830508474576,0.0847457627118644,0.0,0.06779661016949153
1959-W23,0.4098360655737705,0.3114754098360656,0.08196721311475409,0.0,0.08196721311475409
1959-W24,0.41935483870967744,0.3064516129032258,0.06451612903225806,0.0,0.08064516129032258
1959-W25,0.3880597014925373,0.3283582089552239,0.05970149253731343,0.0,0.05970149253731343
1959-W26,0.3384615384615385,0.38461538461538464,0.06153846153846154,0.0,0.06153846153846154
1959-W27,0.3492063492063492,0.36507936507936506,0.06349206349206349,0.0,0.06349206349206349
1959-W28,0.3770491803278688,0.3442622950819672,0.06557377049180328,0.0,0.06557377049180328
1959-W29,0.3492063492063492,0.36507936507936506,0.06349206349206349,0.0,0.06349206349206349
1959-W30,0.3582089552238806,0.373134328358209,0.04477611940298507,0.0,0.07462686567164178
1959-W31,0.3787878787878788,0.36363636363636365,0.045454545454545456,0.0,0.09090909090909091
1959-W32,0.36363636363636365,0.36363636363636365,0.030303030303030304,0.0,0.12121212121212122
1959-W33,0.328125,0.375,0.03125,0.0,0.171875
1959-W34,0.35384615384615387,0.3230769230769231,0.03076923076923077,0.0,0.18461538461538463
1959-W35,0.3333333333333333,0.2753623188405797,0.057971014492753624,0.0,0.18840579710144928
1959-W36,0.34328358208955223,0.31343283582089554,0.04477611940298507,0.0,0.16417910447761194
1959-W37,0.3142857142857143,0.3,0.07142857142857142,0.0,0.17142857142857143
1959-W38,0.3150684931506849,0.3013698630136986,0.0684931506849315,0.0,0.1643835616438356
1959-W39,0.3424657534246575,0.3150684931506849,0.0547945205479452,0.0,0.136986301369863
1959-W40,0.33783783783783783,0.2972972972972973,0.06756756756756757,0.0,0.14864864864864866
1959-W41,0.33783783783783783,0.2972972972972973,0.05405405405405406,0.0,0.13513513513513514
1959-W42,0.38666666666666666,0.29333333333333333,0.05333333333333334,0.0,0.12
1959-W43,0.3561643835616438,0.3287671232876712,0.0684931506849315,0.0,0.1095890410958904
1959-W44,0.39436619718309857,0.29577464788732394,0.07042253521126761,0.0,0.11267605633802817
1959-W45,0.37681159420289856,0.2608695652173913,0.08695652173913043,0.0,0.13043478260869565
1959-W46,0.36231884057971014,0.2318840579710145,0.10144927536231885,0.0,0.14492753623188406
1959-W47,0.3787878787878788,0.22727272727272727,0.10606060606060606,0.0,0.12121212121212122
1959-W48,0.4492753623188406,0.18840579710144928,0.11594202898550725,0.0,0.10144927536231885
1959-W49,0.4782608695652174,0.18840579710144928,0.11594202898550725,0.0,0.10144927536231885
1959-W50,0.47058823529411764,0.19117647058823528,0.1323529411764706,0.0,0.10294117647058823
1959-W51,0.4603174603174603,0.20634920634920634,0.12698412698412698,0.0,0.1111111111111111
1959-W52,0.4696969696969697,0.18181818181818182,0.13636363636363635,0.0,0.12121212121212122
1959-W53,0.47058823529411764,0.14705882352941177,0.1323529411764706,0.0,0.16176470588235295
1960-W01,0.4626865671641791,0.16417910447761194,0.11940298507462686,0.0,0.208955223880597
1960-W02,0.5,0.16666666666666666,0.13636363636363635,0.0,0.15151515151515152
1960-W03,0.5,0.15625,0.125,0.0,0.1875
1960-W04,0.4838709677419355,0.1774193548387097,0.12903225806451613,0.0,0.16129032258064516
1960-W05,0.5151515151515151,0.16666666666666666,0.10606060606060606,0.0,0.13636363636363635
1960-W06,0.48484848484848486,0.16666666666666666,0.10606060606060606,0.0,0.10606060606060606
1960-W07,0.47761194029850745,0.208955223880597,0.07462686567164178,0.0,0.1044776119402985
1960-W08,0.5074626865671642,0.19402985074626866,0.07462686567164178,0.0,0.08955223880597014
1960-W09,0.49295774647887325,0.19718309859154928,0.08450704225352113,0.0,0.08450704225352113
1960-W10,0.4657534246575342,0.1917808219178082,0.1095890410958904,0.0,0.0958904109589041
1960-W11,0.44594594594594594,0.13513513513513514,0.12162162162162163,0.013513513513513514,0.10810810810810811
1960-W12,0.4520547945205479,0.136986301369863,0.1232876712328767,0.0136986301369863,0.1095890410958904
1960-W13,0.4657534246575342,0.1232876712328767,0.1095890410958904,0.0,0.1232876712328767
1960-W14,0.4931506849315068,0.1232876712328767,0.0958904109589041,0.0,0.1095890410958904
1960-W15,0.5205479452054794,0.1232876712328767,0.0821917808219178,0.0,0.0958904109589041
1960-W16,0.4852941176470588,0.11764705882352941,0.10294117647058823,0.0,0.11764705882352941
1960-W17,0.421875,0.140625,0.109375,0.0,0.140625
1960-W18,0.36507936507936506,0.1746031746031746,0.09523809523809523,0.0,0.15873015873015872
1960-W19,0.4307692307692308,0.18461538461538463,0.09230769230769231,0.0,0.16923076923076924
1960-W20,0.4444444444444444,0.19047619047619047,0.07936507936507936,0.0,0.1746031746031746
1960-W21,0.417910447761194,0.23880597014925373,0.1044776119402985,0.0,0.14925373134328357
1960-W22,0.4117647058823529,0.23529411764705882,0.10294117647058823,0.0,0.14705882352941177
1960-W23,0.43283582089552236,0.22388059701492538,0.08955223880597014,0.0,0.13432835820895522
1960-W24,0.417910447761194,0.23880597014925373,0.07462686567164178,0.0,0.11940298507462686
1960-W25,0.42424242424242425,0.24242424242424243,0.045454545454545456,0.0,0.12121212121212122
1960-W26,0.39705882352941174,0.27941176470588236,0.07352941176470588,0.0,0.11764705882352941
1960-W27,0.42028985507246375,0.2608695652173913,0.07246376811594203,0.0,0.13043478260869565
1960-W28,0.43478260869565216,0.2608695652173913,0.08695652173913043,0.0,0.13043478260869565
1960-W29,0.42028985507246375,0.2318840579710145,0.13043478260869565,0.0,0.13043478260869565
1960-W30,0.37142857142857144,0.24285714285714285,0.12857142857142856,0.0,0.17142857142857143
1960-W31,0.4057971014492754,0.2753623188405797,0.11594202898550725,0.0,0.11594202898550725
1960-W32,0.4264705882352941,0.2647058823529412,0.1323529411764706,0.0,0.07352941176470588
1960-W33,0.45454545454545453,0.24242424242424243,0.12121212121212122,0.0,0.06060606060606061
1960-W34,0.4461538461538462,0.23076923076923078,0.12307692307692308,0.0,0.09230769230769231
1960-W35,0.45454545454545453,0.21212121212121213,0.12121212121212122,0.0,0.07575757575757576
1960-W36,0.4444444444444444,0.20634920634920634,0.12698412698412698,0.0,0.06349206349206349
1960-W37,0.4782608695652174,0.17391304347826086,0.11594202898550725,0.0,0.08695652173913043
1960-W38,0.43243243243243246,0.21621621621621623,0.12162162162162163,0.0,0.0945945945945946
1960-W39,0.4155844155844156,0.2077922077922078,0.14285714285714285,0.0,0.1038961038961039
1960-W40,0.4024390243902439,0.1951219512195122,0.12195121951219512,0.0,0.0975609756097561
1960-W41,0.3835616438356164,0.2465753424657534,0.1095890410958904,0.0,0.0821917808219178
1960-W42,0.37142857142857144,0.21428571428571427,0.12857142857142856,0.0,0.08571428571428572
1960-W43,0.34782608695652173,0.2028985507246377,0.13043478260869565,0.0,0.08695652173913043
1960-W44,0.3582089552238806,0.23880597014925373,0.14925373134328357,0.0,0.08955223880597014
1960-W45,0.36923076923076925,0.26153846153846155,0.13846153846153847,0.0,0.07692307692307693
1960-W46,0.3088235294117647,0.27941176470588236,0.1323529411764706,0.0,0.10294117647058823
1960-W47,0.2753623188405797,0.2463768115942029,0.15942028985507245,0.0,0.11594202898550725
1960-W48,0.23529411764705882,0.2647058823529412,0.17647058823529413,0.0,0.11764705882352941
1960-W49,0.2463768115942029,0.2463768115942029,0.15942028985507245,0.0,0.14492753623188406
1960-W50,0.25806451612903225,0.22580645161290322,0.1774193548387097,0.0,0.14516129032258066
1960-W51,0.2711864406779661,0.23728813559322035,0.1694915254237288,0.0,0.13559322033898305
1960-W52,0.3,0.26666666666666666,0.15,0.0,0.1
1961-W01,0.3114754098360656,0.26229508196721313,0.19672131147540983,0.0,0.09836065573770492
1961-W02,0.3114754098360656,0.22950819672131148,0.19672131147540983,0.0,0.09836065573770492
1961-W03,0.35,0.21666666666666667,0.21666666666666667,0.0,0.08333333333333333
1961-W04,0.359375,0.234375,0.1875,0.0,0.078125
1961-W05,0.36363636363636365,0.22727272727272727,0.19696969696969696,0.0,0.09090909090909091
1961-W06,0.38095238095238093,0.2222222222222222,0.19047619047619047,0.0,0.07936507936507936
1961-W07,0.359375,0.21875,0.203125,0.0,0.09375
1961-W08,0.373134328358209,0.208955223880597,0.208955223880597,0.0,0.07462686567164178
1961-W09,0.36363636363636365,0.22727272727272727,0.21212121212121213,0.0,0.045454545454545456
1961-W10,0.375,0.2361111111111111,0.2222222222222222,0.0,0.027777777777777776
1961-W11,0.36764705882352944,0.2647058823529412,0.22058823529411764,0.0,0.029411764705882353
1961-W12,0.373134328358209,0.2537313432835821,0.22388059701492538,0.0,0.04477611940298507
1961-W13,0.34328358208955223,0.2537313432835821,0.208955223880597,0.0,0.07462686567164178
1961-W14,0.36923076923076925,0.2153846153846154,0.2153846153846154,0.0,0.06153846153846154
1961-W15,0.34328358208955223,0.208955223880597,0.22388059701492538,0.0,0.11940298507462686
1961-W16,0.3787878787878788,0.22727272727272727,0.19696969696969696,0.0,0.10606060606060606
1961-W17,0.3939393939393939,0.22727272727272727,0.16666666666666666,0.0,0.07575757575757576
1961-W18,0.43478260869565216,0.2318840579710145,0.15942028985507245,0.0,0.07246376811594203
1961-W19,0.44285714285714284,0.22857142857142856,0.17142857142857143,0.0,0.07142857142857142
1961-W20,0.4264705882352941,0.20588235294117646,0.19117647058823528,0.0,0.04411764705882353
1961-W21,0.42028985507246375,0.2028985507246377,0.17391304347826086,0.0,0.057971014492753624
1961-W22,0.3880597014925373,0.2537313432835821,0.1791044776119403,0.0,0.05970149253731343
1961-W23,0.3880597014925373,0.208955223880597,0.19402985074626866,0.0,0.1044776119402985
1961-W24,0.3939393939393939,0.19696969696969696,0.16666666666666666,0.0,0.10606060606060606
1961-W25,0.38571428571428573,0.15714285714285714,0.17142857142857143,0.0,0.11428571428571428
1961-W26,0.4027777777777778,0.1527777777777778,0.18055555555555555,0.0,0.1111111111111111
1961-W27,0.37142857142857144,0.15714285714285714,0.2,0.0,0.11428571428571428
1961-W28,0.38028169014084506,0.16901408450704225,0.15492957746478872,0.0,0.1267605633802817
1961-W29,0.3972602739726027,0.1780821917808219,0.136986301369863,0.0,0.136986301369863
1961-W30,0.40789473684210525,0.19736842105263158,0.13157894736842105,0.0,0.13157894736842105
1961-W31,0.4444444444444444,0.18055555555555555,0.1388888888888889,0.0,0.1111111111111111
1961-W32,0.4305555555555556,0.20833333333333334,0.1388888888888889,0.0,0.08333333333333333
1961-W33,0.4520547945205479,0.2191780821917808,0.1506849315068493,0.0,0.0684931506849315
1961-W34,0.43661971830985913,0.22535211267605634,0.18309859154929578,0.0,0.07042253521126761
1961-W35,0.463768115942029,0.21739130434782608,0.14492753623188406,0.0,0.10144927536231885
1961-W36,0.5217391304347826,0.17391304347826086,0.17391304347826086,0.0,0.08695652173913043
1961-W37,0.5074626865671642,0.14925373134328357,0.208955223880597,0.0,0.05970149253731343
1961-W38,0.46875,0.1875,0.1875,0.0,0.09375
1961-W39,0.45588235294117646,0.19117647058823528,0.20588235294117646,0.0,0.08823529411764706
1961-W40,0.47761194029850745,0.16417910447761194,0.19402985074626866,0.0,0.11940298507462686
1961-W41,0.45588235294117646,0.17647058823529413,0.19117647058823528,0.0,0.10294117647058823
1961-W42,0.40298507462686567,0.208955223880597,0.1791044776119403,0.0,0.11940298507462686
1961-W43,0.4117647058823529,0.19117647058823528,0.16176470588235295,0.0,0.14705882352941177
1961-W44,0.3787878787878788,0.19696969696969696,0.16666666666666666,0.0,0.16666666666666666
1961-W45,0.36507936507936506,0.20634920634920634,0.15873015873015872,0.0,0.15873015873015872
1961-W46,0.3492063492063492,0.2222222222222222,0.15873015873015872,0.0,0.14285714285714285
1961-W47,0.35384615384615387,0.2,0.16923076923076924,0.0,0.15384615384615385
1961-W48,0.359375,0.203125,0.171875,0.0,0.125
1961-W49,0.3283582089552239,0.22388059701492538,0.14925373134328357,0.0,0.1791044776119403
1961-W50,0.2878787878787879,0.2727272727272727,0.10606060606060606,0.0,0.19696969696969696
1961-W51,0.3235294117647059,0.23529411764705882,0.1323529411764706,0.0,0.17647058823529413
1961-W52,0.373134328358209,0.208955223880597,0.11940298507462686,0.0,0.11940298507462686
1962-W01,0.38461538461538464,0.2153846153846154,0.12307692307692308,0.0,0.13846153846153847
1962-W02,0.3384615384615385,0.23076923076923078,0.1076923076923077,0.0,0.16923076923076924
1962-W03,0.3384615384615385,0.24615384615384617,0.1076923076923077,0.015384615384615385,0.16923076923076924
1962-W04,0.3333333333333333,0.2727272727272727,0.12121212121212122,0.015151515151515152,0.16666666666666666
1962-W05,0.35294117647058826,0.2647058823529412,0.1323529411764706,0.014705882352941176,0.16176470588235295
1962-W06,0.3582089552238806,0.2537313432835821,0.13432835820895522,0.014925373134328358,0.14925373134328357
1962-W07,0.36363636363636365,0.25757575757575757,0.13636363636363635,0.015151515151515152,0.15151515151515152
1962-W08,0.36507936507936506,0.2857142857142857,0.14285714285714285,0.015873015873015872,0.1111111111111111
1962-W09,0.3880597014925373,0.2835820895522388,0.1044776119402985,0.014925373134328358,0.1044776119402985
1962-W10,0.3939393939393939,0.30303030303030304,0.07575757575757576,0.015151515151515152,0.12121212121212122
